target,text,,label
place,"judging from previous posts this used to be a good place , but not any longer","judging from previous posts this used to be a good MASK , but not any longer",0
staff,"we , there were four of us , arrived at noon the place was empty and the staff acted like we were imposing on them and they were very rude","we , there were four of us , arrived at noon the place was empty and the MASK acted like we were imposing on them and they were very rude",0
food,the food was lousy too sweet or too salty and the portions tiny,the MASK was lousy too sweet or too salty and the portions tiny,0
portions,the food was lousy too sweet or too salty and the portions tiny,the food was lousy too sweet or too salty and the MASK tiny,0
place,avoid this place !,avoid this MASK !,0
food,"i have eaten at saul , many times , the food is always consistently , outrageously good","i have eaten at saul , many times , the MASK is always consistently , outrageously good",2
saul,saul is the best restaurant on smith street and in brooklyn,MASK is the best restaurant on smith street and in brooklyn,2
foie gras terrine with figs,the duck confit is always amazing and the foie gras terrine with figs was out of this world,the duck confit is always amazing and the MASK was out of this world,2
duck confit,the duck confit is always amazing and the foie gras terrine with figs was out of this world,the MASK is always amazing and the foie gras terrine with figs was out of this world,2
wine list,the wine list is interesting and has many good values,the MASK is interesting and has many good values,2
wine list,the wine list is interesting and has many good values,the MASK is interesting and has many good values,2
restaurant,i was very disappointed with this restaurant,i was very disappointed with this MASK,0
cart attendant,i ve asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away,i ve asked a MASK for a lotus leaf wrapped rice and she replied back rice and just walked away,0
food,"food was okay , nothing great","MASK was okay , nothing great",1
chow fun,chow fun was dry pork shu mai was more than usually greasy and had to share a table with loud and rude family,MASK was dry pork shu mai was more than usually greasy and had to share a table with loud and rude family,0
pork shu mai,chow fun was dry pork shu mai was more than usually greasy and had to share a table with loud and rude family,chow fun was dry MASK was more than usually greasy and had to share a table with loud and rude family,0
place,will never go back to this place again,will never go back to this MASK again,0
fish,"went on a 3 day oyster binge , with fish bringing up the closing , and i am so glad this was the place it o trip ended , because it was so great !","went on a 3 day oyster binge , with MASK bringing up the closing , and i am so glad this was the place it o trip ended , because it was so great !",2
service,"service was devine , oysters where a sensual as they come , and the price ca n't be beat ! ! !","MASK was devine , oysters where a sensual as they come , and the price ca n't be beat ! ! !",2
oysters,"service was devine , oysters where a sensual as they come , and the price ca n't be beat ! ! !","service was devine , MASK where a sensual as they come , and the price ca n't be beat ! ! !",2
restaurant saul,every time in new york i make it a point to visit restaurant saul on smith street,every time in new york i make it a point to visit MASK on smith street,2
service,"everything is always cooked to perfection , the service is excellent , the decor cool and understated","everything is always cooked to perfection , the MASK is excellent , the decor cool and understated",2
decor,"everything is always cooked to perfection , the service is excellent , the decor cool and understated","everything is always cooked to perfection , the service is excellent , the MASK cool and understated",2
duck breast special,i had the duck breast special on my last visit and it was incredible,i had the MASK on my last visit and it was incredible,2
food,"the food is very average the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here","the MASK is very average the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here",0
thai fusion stuff,"the food is very average the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here","the food is very average the MASK is a bit too sweet , every thing they serve is too sweet here",0
grilled chicken special with edamame puree,the only thing i moderately enjoyed was their grilled chicken special with edamame puree,the only thing i moderately enjoyed was their MASK,2
edamame pureed,i had never had edamame pureed before but i thought it was innovative and tasty could ' ve used a bit more salt,i had never had MASK before but i thought it was innovative and tasty could ' ve used a bit more salt,2
edamame pureed,i had never had edamame pureed before but i thought it was innovative and tasty could ' ve used a bit more salt,i had never had MASK before but i thought it was innovative and tasty could ' ve used a bit more salt,2
place,"the decor is night tho but they really need to clean that vent in the ceiling its quite , and kills your effort to make this place look sleek and modern","the decor is night tho but they really need to clean that vent in the ceiling its quite , and kills your effort to make this MASK look sleek and modern",0
decor,"the decor is night tho but they really need to clean that vent in the ceiling its quite , and kills your effort to make this place look sleek and modern","the MASK is night tho but they really need to clean that vent in the ceiling its quite , and kills your effort to make this place look sleek and modern",2
